PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Whitworth,K,WHTW,1,,,,,,,,KO,Return,,,,,,,,,,,,Austin Andersen,,,,,,,,17,-20.0,Alessandro Maiuolo,0.0,-3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Whitworth,D,WTW,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,4.0,No Huddle,right,,,,,,,,,Michael Colangelo,Benjamin Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Whitworth,D,WTW,1,,1.0,2.0,2.0,6.0,-24.0,Coming Out,Pass,Complete,8.0,,,,short,left,Complete,Cameron for Sheley,,,,Stiles Satterlee,Kirby Baynes,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Whitworth,D,WTW,1,,1.0,3.0,1.0,10.0,-32.0,Gold Zone,Run,Rush,5.0,No Huddle,middle,,,,,,,,,Chris Wicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Whitworth,D,WTW,1,,1.0,4.0,2.0,5.0,-37.0,Gold Zone,Run,Rush,12.0,No Huddle,middle,,,,,,,,,Michael Colangelo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Whitworth,D,WTW,1,,1.0,5.0,1.0,10.0,-49.0,Go Zone,Run,Rush,4.0,No Huddle,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Whitworth,D,WTW,1,,1.0,6.0,2.0,6.0,47.0,Go Zone,Run,Rush,-1.0,No Huddle,middle,,,,,,,,,Benjamin Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Whitworth,D,WTW,1,,1.0,7.0,3.0,7.0,48.0,Go Zone,Pass,Complete,11.0,,,,deep,middle,Complete,Riley for Morrison,,,,Joey Asta,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Whitworth,D,WTW,1,,1.0,8.0,1.0,10.0,37.0,Go Zone,Run,Rush,8.0,No Huddle-Shotgun,right,,,,,,,,,Chris Wicke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
10,Whitworth,D,WTW,1,,1.0,9.0,2.0,2.0,29.0,Take A Shot,Run,Rush,1.0,No Huddle,middle,,,,,,,,,Stiles Satterlee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
11,Whitworth,D,WTW,1,,1.0,10.0,3.0,1.0,28.0,Take A Shot,Run,Rush,-4.0,No Huddle-Shotgun,middle,,,,,,,,,Stiles Satterlee,Joey Asta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
12,Whitworth,D,WTW,1,,1.0,11.0,4.0,5.0,32.0,Take A Shot,Run,Rush,7.0,No Huddle-Shotgun,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
13,Whitworth,D,WTW,1,,1.0,12.0,1.0,10.0,25.0,Take A Shot,Run,Rush,4.0,No Huddle-Shotgun,middle,,,,,,,,,Elijah Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
14,Whitworth,D,WTW,1,,1.0,13.0,2.0,6.0,21.0,Take A Shot,Pass,Complete,13.0,,,,deep,left,Complete,Riley for Morrison,,,,Stiles Satterlee,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:54,1794,0,0,0,3,3,3,Pass Interference,WHTW,,,,,15.0
15,Whitworth,D,WTW,1,,1.0,14.0,2.0,21.0,36.0,Go Zone,Pass,Complete,7.0,,,,short,middle,Complete,Cameron for Sheley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
16,Whitworth,D,WTW,1,,1.0,15.0,3.0,14.0,29.0,Take A Shot,Pass,Sack,-7.0,,,,,,Sack,,,,,Thomas MacEachron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
17,Whitworth,K,WTW,1,,,,4.0,21.0,36.0,Go Zone,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvaro punt Campos-Ontiveros,13.0,23.0,Out of bounds,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
18,Whitworth,O,WHTW,1,,1.0,1.0,0.0,10.0,23.0,Take A Shot,Run,Rush,16.0,Justin Edwards,right,,,,,,,,,Colten Chelin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:47,1247,0,0,0,3,3,3,,,,,,,
19,Whitworth,O,WHTW,1,,1.0,2.0,1.0,10.0,39.0,Go Zone,Run,Rush,3.0,Anderson Cynkar,left,,,,,,,,,Patrick Serrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,05:47,1247,0,0,0,3,3,3,Not found,WHTW,,,,,
20,Whitworth,,WHTW,1,,,,1.0,10.0,39.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:47,1247,0,0,0,3,3,3,,,,,,,5.0
21,Whitworth,O,WHTW,1,,1.0,3.0,1.0,15.0,34.0,Take A Shot,Pass,Complete,29.0,,,Zach Fogel,deep,right,Complete,Justin Edwards,,,,Colten Chelin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:47,1247,0,0,0,3,3,3,,,,,,,
22,Whitworth,O,WHTW,1,,1.0,4.0,1.0,10.0,37.0,Go Zone,Run,Rush,2.0,Justin Edwards,middle,,,,,,,,,Mason Bertelli,Justin Gies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:47,1247,0,0,0,3,3,3,,,,,,,
23,Whitworth,,WHTW,1,,,,2.0,8.0,35.0,Take A Shot,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:47,1247,0,0,0,3,3,3,Offside ,WHTW,,,,,5.0
24,Whitworth,O,WHTW,1,,1.0,5.0,2.0,3.0,30.0,Take A Shot,Run,Rush,10.0,Justin Edwards,left,,,,,,,,,,,True,Justin Edwards,,WTW,,at WHTW20,,-20.0,,,,,,,,,,,,,,,,,True,,,,,,05:47,1247,0,0,0,3,3,3,,,,,,,
25,Whitworth,O,WHTW,1,,1.0,6.0,1.0,10.0,20.0,Red Zone High,Run,Rush,6.0,Zach Fogel,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,05:47,1247,0,0,0,3,3,3,Offside,WHTW,,,,,5.0
26,Whitworth,O,WHTW,1,,1.0,7.0,1.0,5.0,15.0,Red Zone High,Run,Rush,1.0,Zach Fogel,left,,,,,,,,,Derrick Platt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:47,1247,0,0,0,3,3,3,,,,,,,
