PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,UTICA,K,HARTWICK,1,,,,,,,KO,Return,,,,,,,,,Dylan Solenski,,,,,,,Jamel Smith,45,49.0,Nick Andrade,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,UTICA,D,UTICA,1,,1.0,1.0,0.0,10.0,-49.0,Pass,Interception,0.0,,Sonny Badyna,Interception,,,Nelon Priest,,Elijah Parker,,,,,,,Nelon Priest,1,14.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
3,UTICA,O,HARTWICK,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,8.0,Davien Kuinlan,,,,,,,Devin Bryant,AnthonyMcDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
4,UTICA,O,HARTWICK,1,,1.0,2.0,2.0,2.0,-23.0,Run,Rush,7.0,Davien Kuinlan,,,,,,,Jamel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
5,UTICA,O,HARTWICK,1,,1.0,3.0,1.0,10.0,-30.0,Pass,Incomplete,0.0,,Kyle Szokoli,Incomplete,Justin LoBasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
6,UTICA,O,HARTWICK,1,,1.0,4.0,2.0,10.0,-30.0,Pass,Incomplete,0.0,,Kyle Szokoli,Incomplete,Matt Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:44,1784,0,0,0,3,3,3,illegal block,HARTWICK,Ben Chase,,,,15.0
7,UTICA,O,HARTWICK,1,,1.0,5.0,2.0,25.0,-15.0,Pass,Complete,16.0,,Kyle Szokoli,Complete,Justin LoBasso,,,,Jamel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
8,UTICA,O,HARTWICK,1,,1.0,6.0,3.0,9.0,-31.0,Pass,Complete,17.0,,Kyle Szokoli,Complete,Davien Kuinlan,,,,ChrisWashington,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
9,UTICA,O,HARTWICK,1,,1.0,7.0,1.0,10.0,-48.0,Run,Rush,1.0,Davien Kuinlan,,,,,,,Evan Gohringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
10,UTICA,O,HARTWICK,1,,1.0,8.0,2.0,9.0,-49.0,Pass,Complete,21.0,,Kyle Szokoli,Complete,J. Mansfield-Be,,,,Jamel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
11,UTICA,O,HARTWICK,1,,1.0,9.0,1.0,10.0,30.0,Run,Rush,5.0,Davien Kuinlan,,,,,,,M.Lott-Douglass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
12,UTICA,O,HARTWICK,1,,1.0,10.0,2.0,5.0,25.0,Run,Rush,0.0,Davien Kuinlan,,,,,,,Jimmie Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
13,UTICA,O,HARTWICK,1,,1.0,11.0,3.0,5.0,25.0,Pass,Incomplete,0.0,,Kyle Szokoli,Incomplete,J. Mansfield-Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
14,UTICA,,HARTWICK,1,,,,4.0,5.0,25.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartwick,,,,,,,14:44,1784,0,0,0,3,3,3,,,,,,,
15,UTICA,O,HARTWICK,1,,1.0,12.0,4.0,5.0,25.0,Pass,Incomplete,0.0,,Jason Fucci,Incomplete,Kyle Szokoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,08:49,1429,0,0,0,2,2,3,,,,,,,
16,UTICA,D,UTICA,1,,2.0,1.0,0.0,10.0,-25.0,Run,Rush,1.0,Tim Hogan,,,,,,,Jeremy Gerdvil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:46,1426,0,0,0,2,3,2,,,,,,,
17,UTICA,D,UTICA,1,,2.0,2.0,2.0,9.0,-26.0,Run,Rush,-1.0,Tim Hogan,,,,,,,Jack Colbath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:46,1426,0,0,0,2,3,2,,,,,,,
18,UTICA,D,UTICA,1,,2.0,3.0,3.0,10.0,-25.0,Pass,Complete,9.0,,Sonny Badyna,Complete,Joey Nare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:46,1426,0,0,0,2,3,2,,,,,,,
19,UTICA,K,UTICA,1,,,,4.0,1.0,-34.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Maki Medici,43.0,23.0,Fair Catch,,,,,,,,,,,,,,08:46,1426,0,0,0,2,3,2,,,,,,,
