PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Mass.-Dartmouth,K,DA,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,,,,Justin McMillia,0,14.0,Owen Quigley,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Mass.-Dartmouth,O,MAR,1,,1.0,1.0,0.0,10.0,-14.0,Coming Out,Pass,Complete,2.0,,,Alex Cohen,,,Complete,Deandre Wallace,,,,JP Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
3,Mass.-Dartmouth,O,MAR,1,,1.0,2.0,2.0,8.0,-16.0,Coming Out,Pass,Incomplete,0.0,,,Alex Cohen,,,Incomplete,Devin Tolbert,,,,Isaiah Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
4,Mass.-Dartmouth,O,MAR,1,,1.0,3.0,3.0,8.0,-16.0,Coming Out,Pass,Complete,57.0,,,Alex Cohen,,,Complete,Justin McMillia,,,,Isaiah Cole,Jonathan Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
5,Mass.-Dartmouth,O,MAR,1,,1.0,4.0,1.0,10.0,27.0,Take A Shot,Run,Rush,0.0,Hayden Braga,,,,,,,,,,Javien Delgado,Mike Henricksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,false start,MAR,,,,,5.0
6,Mass.-Dartmouth,O,MAR,1,,1.0,5.0,1.0,15.0,32.0,Take A Shot,Run,Rush,-3.0,Kahlil Bowens,,,,,,,,,,Marcus Elysee,Mike Henricksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
7,Mass.-Dartmouth,O,MAR,1,,1.0,6.0,2.0,18.0,35.0,Take A Shot,Pass,Incomplete,0.0,,,Deandre Wallace,,,Incomplete,Deandre Wallace,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
8,Mass.-Dartmouth,O,MAR,1,,1.0,7.0,3.0,18.0,35.0,Take A Shot,Pass,Complete,10.0,,,Alex Cohen,,,Complete,Devin Tolbert,,,,Shane Meerbott,Winston DeLeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
9,Mass.-Dartmouth,O,MAR,1,,1.0,8.0,4.0,8.0,25.0,Take A Shot,Pass,Complete,23.0,,,Alex Cohen,,,Complete,Hayden Braga,,,,JP Mason,Winston DeLeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
10,Mass.-Dartmouth,O,MAR,1,,1.0,9.0,1.0,2.0,2.0,Red Zone Low,Run,Rush,2.0,Alex Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:58,1798,0,0,0,3,3,3,,,,,,,
