PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Worcester St.,K,WSU,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Samuel Brewer,,,,,,,Kevin Rabacs,32,40.0,Kyle Wall,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Worcester St.,O,UNI,1,,1.0,1.0,0.0,10.0,-40.0,Gold Zone,Pass,Complete,14.0,,,Donovan Pacatte,deep,left,Complete,Ike Irabor,,,,Chris West,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Worcester St.,O,UNI,1,,1.0,2.0,1.0,10.0,46.0,Go Zone,Pass,Complete,10.0,,,Donovan Pacatte,short,left,Complete,Ike Irabor,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Worcester St.,O,UNI,1,,1.0,3.0,1.0,10.0,36.0,Go Zone,Pass,Complete,12.0,,,Donovan Pacatte,deep,left,Complete,Ike Irabor,,,,Curt Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Worcester St.,O,UNI,1,,1.0,4.0,1.0,10.0,24.0,Take A Shot,Run,Rush,12.0,Michael Fiore,middle,,,,,,,,,Jonah Familia,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Worcester St.,O,UNI,1,,1.0,5.0,1.0,10.0,12.0,Red Zone,Pass,Complete,1.0,,,Donovan Pacatte,short,right,Complete,Ike Irabor,,,,Quinn O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Worcester St.,O,UNI,1,,1.0,6.0,2.0,9.0,11.0,Red Zone,Run,Rush,6.0,Ike Irabor,middle,,,,,,,,,Jonah Familia,Amir Mells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Worcester St.,O,UNI,1,,1.0,7.0,3.0,3.0,5.0,Red Zone Low,Run,Rush,5.0,Ike Irabor,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Worcester St.,K,UNI,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Stratton H: Sherman,,,,,,,,,,,,,,,,,,,,Andrew Lau,,,Good,,,,,,,,,11:15,1575,6,0,6,3,3,3,,,,,,,
10,Worcester St.,K,UNI,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Return,,,,,,,,,,,,David Seiche,,,,,,,Jamison Metcalf,15,20.0,Andrew Lau,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,11:15,1575,7,0,7,3,3,3,,,,,,,
11,Worcester St.,D,WSU,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,4.0,Amir Mells,middle,,,,,,,,,Tommy Cavallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,1571,0,7,7,3,3,3,,,,,,,
12,Worcester St.,D,WSU,1,,1.0,2.0,2.0,6.0,-24.0,Coming Out,Pass,Complete,7.0,,,Aaron-Moses Williams,short,left,Complete,Ke'Vaughn Davis,,,,Tommy Cavallo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:11,1571,0,7,7,3,3,3,,,,,,,
13,Worcester St.,D,WSU,1,,1.0,3.0,1.0,10.0,-31.0,Gold Zone,Run,Rush,4.0,Amir Mells,middle,,,,,,,,,Ethan VanderBrink,Miguel Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:11,1571,0,7,7,3,3,3,,,,,,,
14,Worcester St.,D,WSU,1,,1.0,4.0,2.0,6.0,-35.0,Gold Zone,Pass,Complete,65.0,,,Aaron-Moses Williams,deep,middle,Complete,Dylan Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:11,1571,0,7,7,3,3,3,,,,,,,
